movie_boxoffice,movie_budget,movie_cast,movie_categories,movie_countries,movie_director,movie_id,movie_imdb_metascore,movie_imdb_nb_of_ratings,movie_imdb_popularity,movie_imdb_rating,movie_length,movie_original_title,movie_production_companies,movie_synopsis,movie_title,movie_url,movie_us_boxoffice,release_date
,,"Tergel Bold-Erdene, Nomin-Erdene Ariunbyamba, Anu-Ujin Tsermaa, Bulgan Chuluunbat, Ganzorig Tsetsgee, Myagmarnaran Gombo, Tsend-Ayush Nyamsuren, Sodtuya Uuganbayar, Ulsbold Enkhbaatar, Altantsooj Enkhtuvshin, Temuujin Tsaschikher, Bolormaa Sugar, Khosbayar Dondog, Enkhbayar Dambasuren, Azzaya Munkhuu, Batbayar Shagdarjav, Turbold Tumurbaatar, Ankhbaatar Bud",Drame,"Qatar, Allemagne, Pays-Bas, Portugal, Mongolie, France",Lkhagvadulam Purev-Ochir,tt27816866,,132,,6.9,104, Ser Ser Salhi,"27 Films Production, Aurora Films, Guru Media","Ze, a 17-year-old, studies hard at school to succeed in the cold, callous society of modern Mongolia. When Ze encounters Maralaa, his senses are awakened and another reality seems possible.",Un Jeune Chaman,https://www.imdb.com/title/tt27816866/?ref_=rlm,,24-04-2024
,,"Ido Tako, Mika Reiss, Efrat Ben Tzur, Tikva Dayan, Shmulik Cohen, Yariv Horowitz, Seif Nabul, Mushy Vider","Drame, Thriller, Guerre",Israël,Dani Rosenberg,tt27817584,,98,,6.8,105, The Vanishing Soldier,"Israel Film Fund, United Channel Movies",Eighteen-year-old Israeli soldier flees back to his girlfriend in Tel Aviv only to discover that the military elite is convinced he was kidnapped in the fog of war.,Le Déserteur,https://www.imdb.com/title/tt27817584/?ref_=rlm,,24-04-2024
,,"Elsa Mala, Albina Krasniqi, Don Shala, Aurora Ferati, Gani Rrahmani, Urate Shabani, Armend Smajli, Tristan Halilaj",Drame,"France, Kosovo",Luàna Bajrami,tt28495781,,31,,7.3,94, Bota Jonë,,"Zoé and Volta set off from their isolated home village to attend university in Pristina. In the midst of social and political unrest, the two women discover a country in turmoil, searching for its identity on the brink of independence.",Notre Monde,https://www.imdb.com/title/tt28495781/?ref_=rlm,,24-04-2024
,,"Daniel Berlioux, Oussem Kadri, Majida Ghomari, Véronique Frumy, Sofiane Kaddour, Timothée Vaganay, Gérard Chaillou, Farès Choua, Najla Barouni, Laurent Borel, Rachid Moura, Séverine Warneys, Léopold Bellanger, Morgane Housset, Chloe di Gregorio, Agnès Godey, Anne Sicard, Nathalie Charade","Biographique, Drame",France,Cheyenne Carron,tt29478506,,,,,,,Hésiode Productions,"Father Jacques Hamel and Adel Kermiche, two destinies crossed for the worse. In July 2016, Adel killed Father Hamel in his church. His chaotic path, turned towards destiny, destroyed a life turned towards others and the sacred. Yet from this annihilation sprang an act of kindness...",Que Notre Joie Demeure,https://www.imdb.com/title/tt29478506/?ref_=rlm,,24-04-2024
,,"Ifham Mathet, Bahia Boutia El Oumani, Mustafa Shimdat, Jaafar Brigui",Drame,"France, Maroc",Leila Kilani,tt26345453,,22,,5.0,127,,"DKB Productions, Socco Chico Films","While the matriarch of the Bechtani clan wants to clear out the family land and sell it, her son and granddaughter live within nature in a fully mystical way, paying heed to coincidences and signs that announce a coming social revolution.",Indivision,https://www.imdb.com/title/tt26345453/?ref_=rlm,,24-04-2024
,,"Noée Abita, Anders Danielsen Lie, Alexis Neises, François Morel, Louise Chevillotte, Saadia Bentaïeb, Chad Chenouga, Sonia Bendhaou, Andranic Manet, Valérie Trajanovski, Hugo Hamdad, Valérie Dashwood, Dan Herzberg, Guilhem Amesland, Estelle Meyer, Omar Mebrouk, Baptiste Fache, Eloïse Valli",Drame,France,Victoria Musiedlak,tt26218928,,31,,6.1,98,,"Ligne 2, France 2 Cinéma, Canal+",An inexperienced criminal defense lawyer is charged with the case of a teenage boy accused of murdering a neighbor.,Première Affaire,https://www.imdb.com/title/tt26218928/?ref_=rlm,,24-04-2024
,,"Marisa Abela, Eddie Marsan, ""Jack OConnell"", Lesley Manville, Juliet Cowan, Bronson Webb, Ansu Kabia, Harley Bird, Pierre Bergman, Matilda Thorpe, Sam Buchanan, Jeff Tunke, Tim Treloar, Colin Mace, Christos Lawton, Michael S. Siegel, Dywayne Thomas, Jasmine Kerr","Biographique, Drame, Musical","France, Royaume-Uni, États-Unis",Sam Taylor-Johnson,tt21261712,,,651,,122,,"StudioCanal UK, Monumental Pictures, Canal+","Il retrace la vie et la musique d'Amy Winehouse, de l'adolescence à l'âge adulte, et la création de l'un des albums les plus vendus de notre époque.",Back To Black,https://www.imdb.com/title/tt21261712/?ref_=rlm,,24-04-2024
27284,,"Paul Eyam Nzie Okpokam, Mike Slye, Elaine Featherstone, Lothario Lotho, James Earl Garrison, Ann Scofield, Shermane Powell, Jack Nance, David Schickele, Donna Michelson, Timothy Near, Patrick Gleeson, David Major, Curtis Branch, Florence Schwartz, John Dotson",Drame,États-Unis,David Schickele,tt0212016,,43,,7.6,73,,"American Film Institute (AFI), Bushman Co.","In 1968's tumult, a Nigerian student in San Francisco experiences clashing cultures and elucidates society's ineptitude at living humanely.",Bushman,https://www.imdb.com/title/tt0212016/?ref_=rlm,27284,24-04-2024
10077,,"Cynthia Erivo, Alia Shawkat, Ibrahima Ba, Honor Swinton Byrne, Zainab Jah, Suzy Bemba, Vincent Vermignon, Abigail Boyd, Luca Calvani, Amanda Drew, Dorotea Mercuri, Jonathan Rhodes, Bill Tsepenekas, Guy Robbins",Drame,"États-Unis, Grèce, France, Royaume-Uni",Anthony Chen,tt20415224,66,143,,6.7,93,,"Aim Media, British Film Institute (BFI), Cor Cordium",Jacqueline escapes her war-torn country to a Greek island. She meets an unmoored tour guide and the two become close as they each find hope in the other.,Drift,https://www.imdb.com/title/tt20415224/?ref_=rlm,10077,24-04-2024
,,"Nabil Atif, Mehdi Azekri, Rafik Boubker, Driss Chalouh, Soukaina Darabil, Amal El Atrache, Salwa Zahrane",Policier,Maroc,Rabii Chajid,tt27684533,,,,,90,,Cineland,"The events of the film revolve around Halim and Mounir who accidentally come across a magic notebook. One night, unaware of the powers of this notebook, Halim, on a whim and after being rejected by the bodyguards of a big city club, expresses his anger by writing a wish on the no...",Jouj,https://www.imdb.com/title/tt27684533/?ref_=rlm,,17-04-2024
,,,Documentaire,"France, Pologne",,tt30877435,,,,,,,"Chaz Productions, Madants, Bord Cadre Films","He goes by the names of Alexandre, Ricardo or Daniel. He calls himself a surgeon or an engineer, Argentinean or Brazilian. He lives with four women at the same time, adapting his story and even his personality traits to each one. A first-person investigation with the help of a pr...",L'Homme Aux Mille Visages,https://www.imdb.com/title/tt30877435/?ref_=rlm,,17-04-2024
,,"Hafsia Herzi, Moussa Mansaly, Louis Memmi, Michel Fau, Pablo Pauly, Florence Loiret Caille, Cédric Appietto, Henri-Noël Tabary, Anthony Morganti, Thomas Muziotti, Jean-Etienne Frisoni, Luigi Fazio, Maé Touhami, Lyam Touhami, Alexandre de Sèze, Samuel Torres Bianconi, Pierre Andrau, Patrick Battistelli","Policier, Drame",France,Stéphane Demoustier,tt19121072,,14,,7.3,118,,"Petit Film, France 3 Cinéma, Canal+",,Borgo,https://www.imdb.com/title/tt19121072/?ref_=rlm,,17-04-2024
2072799,,"Rodrigo Santoro, Marcelo Adnet, Alice Braga, Keith Silverstein, Ian James Corlett, Luis Bermudez, Laila McCann, Debra Wilson, Christopher Corey Smith, Triya Leong, Rachel Butera, Misty Lee, Rick Zieff, David Lodge, Bill Rogers, Karen Strassman, Mark Lewis, Nisa Ward","Animation, Aventure, Comédie Musicale","Brésil, Inde","Alois Di Leo, Sergio Machado, René Veilleux",tt8637446,,52,,5.5,84, Noah'S Ark,"Globo Filmes, Gullane, NIP",A pair of mice attempt to board Noah's Ark.,Les Aventuriers De L'Arche De Noé,https://www.imdb.com/title/tt8637446/?ref_=rlm,,10-04-2024
,,"Nell Tiger Free, Ralph Ineson, Sonia Braga, Tawfeek Barhom, Maria Caballero, Charles Dance, Bill Nighy, Nicole Sorace, Ishtar Currie-Wilson, Andrea Arcangeli, Guido Quaglione, Dora Romano, Michelangelo Dalisi, Anton Alexander, Mia McGovern Zaini, Eugenia Delbue, Charita Cecamore, Federica Santoro",Horreur,"États-Unis, Italie, Royaume-Uni",Arkasha Stevenson,tt5672290,,,41,,120, The First Omen,"20th Century Studios, Phantom Four Films, Abbey Road Studios","Une jeune Américaine est envoyée à Rome pour commencer une vie au service de l'Église, mais elle est confrontée à des ténèbres qui l'amènent à remettre sa foi en question et à découvrir une terrifiante conspiration.",La Malédiction: L'Origine,https://www.imdb.com/title/tt5672290/?ref_=rlm,,10-04-2024
9919,,"Hitoshi Omika, Ryô Nishikawa, Ryûji Kosaka, Ayaka Shibutani, Hazuki Kikuchi, Hiroyuki Miura, Yoshinori Miyata, Taijirô Tamura, Yûto Torii",Drame,Japon,Ryûsuke Hamaguchi,tt28490044,78,16000,2914,7.2,106, Aku Wa Sonzai Shinai,"Fictive, NEOPA","Takumi et sa fille Hana vivent dans le village de Mizubiki, près de Tokyo. Un jour, les habitants du village prennent connaissance d'un projet de construction d'un camping, offrant aux citadins une ""évasion"" confortable dans la nature.",Le Mal N'Existe Pas,https://www.imdb.com/title/tt28490044/?ref_=rlm,,10-04-2024
,7194000,"Nadia Tereszkiewicz, Benoît Magimel, Benjamin Biolay, Guillaume Gouix, Gustave Kervern, Anna Biolay, Eugène Marcuse, Juliette Armanet, Serge Bozon, Peri Bourgogne, Lucas Englander, Aurélia Petit, Julien Drion, Laurent Dassault, Frédéric Sauzay, Jérémie Bergerac, Aminthe Audiard, Victoria Amador","Drame, Historique","France, Belgique",Stéphanie Di Giusto,tt26342863,,109,,6.9,115,,"Trésor Films, Gaumont, Laurent Dassault Rond-Point",The story of the first bearded lady attraction.,Rosalie,https://www.imdb.com/title/tt26342863/?ref_=rlm,,10-04-2024
16007521,100000000,"Paul Rudd, Carrie Coon, Finn Wolfhard, Mckenna Grace, Kumail Nanjiani, Patton Oswalt, ""Celeste OConnor"", Logan Kim, Emily Alyn Lind, James Acaster, Bill Murray, Dan Aykroyd, Ernie Hudson, Annie Potts, William Atherton, Shelley Williams, Chris Tummings, John Rothman","Aventure, Comédie, Fantastique","États-Unis, Canada",Gil Kenan,tt21235248,46,71000,34,6.6,115, Ghostbusters: Frozen Empire,"Columbia Pictures, BRON Studios, Ghostcorps","Lorsque la découverte d'un ancien artefact libère une force maléfique, les anciens et les nouveaux S.O.S. Fantômes doivent unir leurs forces pour protéger leur maison et sauver le monde d'une seconde ère glaciaire.",S.O.S. Fantômes: La Menace De Glace,https://www.imdb.com/title/tt21235248/?ref_=rlm,16000000,10-04-2024
,,"Isabelle Carré, Pablo Pauly, Julia Faure, Bernard Campan",,France,,tt31159666,,,,,77,,Wild Bunch Distribution,"Sophia, who has been married for a long time with Xavier, invites their young upstairs neighbors to dinner. As the ice is broken, the evening unfolds with a cascade of revelations, laying bare the intricacies of relationships.",Et Plus Si Affinités,https://www.imdb.com/title/tt31159666/?ref_=rlm,,03-04-2024
,,"Yves Batek Mendy, Manon Bresch, Inas Chanti, Matthieu Lucci, Clémence Boisnard, Dimitri Decaux, Victor Bonnel, Johan Heldenbergh",Drame,France,Léo Fontaine,tt29245495,,,,,71,,"Polyfilms Production, Améthyste Films, One Out Production","Après plusieurs années, de jeunes adultes se retrouvent. Le temps du lycée est révolu mais ils tentent de rattraper le temps perdu. Cet après-midi là les souvenirs et non-dits refont surface, mais certaines choses ne sont plus comme avant.","Jeunesse, Mon Amour",https://www.imdb.com/title/tt29245495/?ref_=rlm,,03-04-2024
,,"Olonigdi Chiari, Laida Diaz de Prestan, Demetria Prestan Diaz, Demetriana Prestan Diaz, Sidsagi Inatoy, Cebaldo Inawinapi, Arysteides Turpana, Duiren Wagua, Orgun Wagua",Documentaire,"Panama, Suisse, France",Andres Peyrot,tt28581313,,20,,7.3,86,,"Industrie Films, P.S. Productions, Upside Films","The Kuna indigenous people of the Guna Yala islands of Panama intend to claim a 1975 documentary that portrayed their community, but was not ever shown to them.",Dieu Est Une Femme,https://www.imdb.com/title/tt28581313/?ref_=rlm,,03-04-2024
,,"Elie Semoun, Émilie Caen, Gérard Jugnot, Frédérique Bel, Loïc Legendre, Caroline Anglade, Nicolas Marié, Elodie Barthels, Sabrina Lopez Leonard",Comédie,"Belgique, France",Elie Semoun,tt28484935,,,,,90,,"Les films du 24, Les films du premier, Umedia",,Ducobu Passe Au Vert,https://www.imdb.com/title/tt28484935/?ref_=rlm,,03-04-2024
17595,,"Þröstur Leó Gunnarsson, Hermann Samúelsson, Anna Gunndís Guðmundsdóttir, Jóhann Jónsson, Jóel Sæmundsson, Jónmundur Grétarsson, Ahd Tamimi, Asgeir Gunnarsson, Iðunn Ösp Hlynsdóttir",Drame,"Islande, Slovaquie",Ninna Pálmadóttir,tt26218798,,166,,7.1,75, Einvera,"Pegasus Pictures, Pegasus Pictures, Halibut",An aging farmer moves to the city for the first time and forms a bond with a paper boy.,Le Vieil Homme Et L'Enfant,https://www.imdb.com/title/tt26218798/?ref_=rlm,,03-04-2024
,,"Sean Penn, Tye Sheridan, Gbenga Akinnagbe, Michael Pitt, Katherine Waterston, Mike Tyson, Raquel Nave, Kali Reis, Ramon Aleman, Jagan Badvel, Shelly Burrell, George W. Contreras, Jamie Cooper, Jagruti Deshmukh, Daniel Foote, Donna Glaesener, Decater James, Tanzeel Kayani","Drame, Thriller",États-Unis,Jean-Stéphane Sauvaire,tt9663896,41,223,2365,6.2,120, Asphalt City,"Sculptor Media, AZA Films, Force Majeure",La première année de travail d'un jeune secouriste à New York.,Black Flies,https://www.imdb.com/title/tt9663896/?ref_=rlm,,03-04-2024
5873399,,"Margaret Qualley, Geraldine Viswanathan, Beanie Feldstein, Joey Slotnick, C.J. Wilson, Colman Domingo, Pedro Pascal, Bill Camp, Matt Damon, Connie Jackson, Annie Gonzalez, Gordon MacDonald, Sam Vartholomeos, John Menchion, Michael Counihan, Abby Hilden, Haley Holmes, Fatima Fine","Action, Comédie, Thriller","États-Unis, Royaume-Uni",Ethan Coen,tt19356262,56,88000,31,5.6,84,,"Focus Features, Working Title Films","Jamie regrette sa rupture avec sa petite amie, tandis que Marian a besoin de se détendre. À la recherche d'un nouveau départ, ils se lancent dans un voyage inattendu à Tallahassee, mais les choses dérapent rapidement.",Drive-Away Dolls,https://www.imdb.com/title/tt19356262/?ref_=rlm,5028215,03-04-2024
,,"Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle, Alex Ferns, Fala Chen, Rachel House, Ron Smyck, Chantelle Jamieson, Greg Hatton, Kevin Copeland, Tess Dobré, Tim Carroll, Anthony Brandon Wong, Sophia Emberson-Bain, Chika Ikogwe, Vincent B. Gorce, Yeye Zhou","Action, Aventure, Science-fiction",États-Unis,Adam Wingard,tt14539740,,,36,,115, Godzilla X Kong: The New Empire,"Legendary Entertainment, Screen Queensland, Warner Bros.",Godzilla et Kong affrontent un monstre terrifiant qui menace la planète entière.,Godzilla X Kong: Le Nouvel Empire,https://www.imdb.com/title/tt14539740/?ref_=rlm,,03-04-2024
160519,,"August Diehl, Isabelle Huppert, Tsuyoshi Ihara","Drame, Romantique","France, Allemagne, Suisse, Japon",Élise Girard,tt26254622,,142,,6.0,95,,"10:15! Productions, Film-In-Evolution, Lupa Film","While on a book tour in Japan, Sidonie Perceval, still haunted by the ghost of her late husband, begins an affair with her mysterious Japanese publisher.",Sidonie Au Japon,https://www.imdb.com/title/tt26254622/?ref_=rlm,,03-04-2024
3675688,165416000,"Irina Chumantyeva, Svetlana Kuznetsova, Konstantin Panchenko, Yuriy Romanov, Maksim Sergeev, Courtney Shaw, Mariya Shustrova, Andrey Tenetko, Aleksandr Vasilyev, Polina Voichenko","Animation, Aventure, Fantastique",Russie,"Andrey Korn, Alex Tsitsilin",tt17164334,,123,,5.2,75,,Wizart Animation,"Kai and Gerda live in a cozy quiet town, suddenly the Icy Spirits come there to freeze everyone. However, Ila, a little wizardess, comes up to help the heroes. Together they go to the magic world of Mirrorland to get the Icy Spirits back.",Snezhnaya Koroleva: Razmorozka,https://www.imdb.com/title/tt17164334/?ref_=rlm,,30-03-2024
,,"Grégory Gadebois, Géraldine Nakache, Lyès Salem, Anton Alluin, Jacques Boudet, Noam Morgensztern, Françoise Lebrun, Sarah Pachoud, Daniel Tarrare, Christophe Tek, Bruno Le Millin, Gaïa Warnant, Nicolas Gachet, Morgane Lacroix",Drame,France,Ronan Tronchot,tt27432472,,,,,93,,Les Films du Clan,,Paternel,https://www.imdb.com/title/tt27432472/?ref_=rlm,,27-03-2024
,,"Doru Bem, Ciprian Chiriches, Ana Ciontea, Ioan Coman, George Dinu, Gábor Erdei, Bogdan Farcas, Cristina Flutur, Simona Ghita, Nicoleta Lefter, Iulian Postelnicu, Mihaela Sirbu, Palfi Tibor",Drame,"Roumanie, France, Suisse, Turquie",Andrei Cohn,tt21050630,,27,,7.0,133, Holy Week,"Bord Cadre Films, Mandragora, Shellac Films","Leiba runs the village inn in the 1900s, acting as a meeting point for Christians and Jews alike, however the conviviality masks racism and anti-Semitism.",Semaine Sainte,https://www.imdb.com/title/tt21050630/?ref_=rlm,,27-03-2024
,,"Alexandra Lamy, Félix Moati, Sofian Khammes, Julie Chen, Antoine Bertrand, Adam Fitzgerald, Olivier Ythier, Michael Schnörr, Yothin Udomsanti, David Chin, Philippe Torreton",Drame,France,Édouard Bergeon,tt27662142,,17,,6.9,120,,"Nord-Ouest Films, Artémis Productions, France 2 Cinéma",Follows Carole as she tries to save the life of her son who has been wrongfully sentenced to death in a rigged trial.,La Promesse Verte,https://www.imdb.com/title/tt27662142/?ref_=rlm,,27-03-2024
432085,,"Janet Novás, Siobhan Fernandes, Carla Rivas, Daniela Hernán Marchán, María Lado, Julia Gómez, José Navarro, Nuria Lestegás, Darío Fernández Raposo, Valentín Estévez, Filomena Gigante, Pamela Vidal, Belén Merino, Diego Anido, Álvaro Cardalda, Martiño Carou, Mario Rivas, Alberte Carou",Drame,"Espagne, Portugal, Belgique",Jaione Camborda,tt21920634,,377,,6.5,105, O Corno,"Esnatu Zinema, Miramemira, Elástica Films","Illa of Arousa, 1971. María earns her living fishing and also helps other women in their deliveries. After an unexpected event, she is forced to flee from her and begins a dangerous journey that will make her fight for her survival.",O Corno - Une Histoire De Femmes,https://www.imdb.com/title/tt21920634/?ref_=rlm,,27-03-2024
,4218300,"François Civil, Shaïn Boumedine, Toscane Duquesne, Mallory Wanecque, Bakary Kebe, Emma Boumali, Marianne Ehouman, Luna Ho Poumey, Mohamed Fadiga, Atik Jawed, Estevan Marchenoir, Agnès Hurstel, Myriam Djeljeli, Emilie Incerti-Formentini, Mustapha Abourachid, Armindo Alves de Sa, Francis Leplay, Fadily Camara",Drame,"France, Belgique",Teddy Lussi-Modeste,tt26060006,,28,,6.7,91,,"Kazak Productions, Frakas Productions, VOO",Inspiré d'une histoire vraie. Un jeune professeur de littérature est accusé à tort de harcèlement par une élève adolescente. Il doit faire face aux allégations alors que la situation s'étend jusqu'à devenir incontrôlable.,Pas De Vagues,https://www.imdb.com/title/tt26060006/?ref_=rlm,,27-03-2024
55593,,"Daniel Elías, Esteban Bigliardi, Margarita Molfino, Germán De Silva, Mariana Chaud, Gabriela Saidon, Cecilia Rainero, Javier Zoro, Lalo Rotavería, Iair Said, Fabian Casas, Adriana Aizemberg, Yessica Daina Gonzalez Capello, Natali Carranza, Erasmo Colombo, Jonathan Da Rosa, Franco de la Puente, Facundo Gigena","Comédie, Policier, Drame","Argentine, Luxembourg, Brésil, Chili",Rodrigo Moreno,tt18558306,86,24000,,6.7,189,,"Wanka Cine, Les Films Fauves, Sancho & Punta","Morán, employé de banque, projette de voler suffisamment d'argent pour ne plus jamais travailler, puis d'avouer et de purger une peine de prison pendant que son collègue cache l'argent.",Los Delincuentes,https://www.imdb.com/title/tt18558306/?ref_=rlm,42279,27-03-2024
157435,,"Naíma Sentíes, Montserrat Marañon, Marisol Gasé, Saori Gurza, Mateo Garcia, Teresa Sánchez, Iazua Larios, Alberto Amador, Juan Francisco Maldonado, Marisela Villarruel, Galia Mayer, Lukas Urquijo López, José Manuel Poncelis, Alioth Gutiérrez, Rodrigo Lamas, Abel Sánchez, Pepe Aguilar, Georgina Tábora",Drame,"Mexique, France, Danemark, Pays-Bas",Lila Avilés,tt26315142,91,21000,,7.1,95,,"Limerencia Films, Laterna, Paloma Productions","Seven-year-old Sol is spending the day at her grandfather's home, for a surprise party for Sol's father, Tonatiuh. As daylight fades, Sol comes to understand that her world is about to change dramatically.",Tótem,https://www.imdb.com/title/tt26315142/?ref_=rlm,94186,27-03-2024
459367,,"Adonyi-Walsh Gáspár, István Znamenák, András Rusznák, Rebeka Hatházi, Krisztina Urbanovits, Eliza Sodró, Lilla Kizlinger, Dániel Király, Gergely Kocsis, Tamás Fodor, Péter Tarján, Zsuzsa Száger, Péter Szeiler, Tóth Péter, Tünde Bacskó, Bálint Szimler, Eros Mara, Heinczinger Bence",Drame,"Hongrie, Slovaquie",Gábor Reisz,tt27788968,,14000,,7.8,151, Magyarázat Mindenre,"Mphilms Production, Proton Cinema","Abel is a high school student struggling to focus on his final exams, while being hopelessly in love with his best friend Janka.",L'Affaire Abel Trem,https://www.imdb.com/title/tt27788968/?ref_=rlm,,27-03-2024
,,"Alicia Vikander, Jude Law, Eddie Marsan, Paul Tinto, Sam Riley, Bryony Hannah, Ruby Bentall, Simon Russell Beale, Mia Threapleton, Erin Doherty, Anna Mawn, Amr Waked, Patsy Ferran, Ian Drysdale, Ashleigh Reynolds, Junia Rees, Edward Harrison, Jason Baughan","Drame, Historique","Royaume-Uni, États-Unis",Karim Aïnouz,tt15000156,61,322,3365,6.5,120, Firebrand,"Brouhaha Entertainment, FilmNation Entertainment, Magnolia Mae Films",Le mariage de la reine Catherine Parr et d'Henri VIII.,Le Jeu De La Reine,https://www.imdb.com/title/tt15000156/?ref_=rlm,,27-03-2024
,12500000,"Avantika, Olwen Fouéré, Harriet Slater, Jacob Batalon, Humberly González, Larsen Thompson, Wolfgang Novogratz, Adain Bradley, James Swanton, Stasa Nikolic, Alan Wells, Suncica Milanovic, Joss Carter",Horreur,États-Unis,"Spenser Cohen, Anna Halberg",tt14088510,,,1970,,, Tarot,"Screen Gems, Alloy Entertainment, Capstone Pictures","Lorsqu'un groupe d'amis viole inconsidérément la règle sacrée de la lecture du Tarot, ils libèrent sans le savoir un mal indicible emprisonné dans les cartes maudites.",Les Cartes Du Mal,https://www.imdb.com/title/tt14088510/?ref_=rlm,,08-05-2024
,,"Fatima Adoum, Mariama Gueye, Corinne Masiero, Salimata Kamate, Kool Shen, Marie-Sohna Condé, Maïmouna Gueye, Lucie Charles-Alfred, Abdallah Charki",,France,,tt27722491,,,,,87,,"Albertine Productions, Prima Vista","Nothing had prepared Eva for the demands of a large hotel. When she joined the team of chambermaids, she met colleagues with strong personalities: Safietou, Aissata, Violette and Simone.Between laughter and hard knocks, the young woman discovers a close-knit team united in the fa...",Petites Mains,https://www.imdb.com/title/tt27722491/?ref_=rlm,,01-05-2024
