movie_boxoffice,movie_budget,movie_cast,movie_categories,movie_countries,movie_director,movie_id,movie_imdb_metascore,movie_imdb_nb_of_ratings,movie_imdb_popularity,movie_imdb_rating,movie_length,movie_original_title,movie_production_companies,movie_synopsis,movie_title,movie_url,movie_us_boxoffice,release_date
,,"Pedro Pascal, Denzel Washington, Paul Mescal, Joseph Quinn, Connie Nielsen, Matt Lucas, Tim McInnerny, Derek Jacobi, Fred Hechinger, May Calamawy, Peter Mensah, Lior Raz, Chidi Ajufo, Riana Duce, Alfie Tempest, Lee Charles, Chi Lewis-Parry, Mikhail Basmadjian","Action, Aventure, Drame","Royaume-Uni, États-Unis",Ridley Scott,tt9218128,,,194,,,,"Paramount Pictures, Scott Free Productions, Parkes/MacDonald Image Nation",La suite du film Gladiator de Ridley Scott.,Gladiator 2,https://www.imdb.com/title/tt9218128/?ref_=rlm,,20-11-2024
,,"""Aulii Cravalho"", Dwayne Johnson, Alan Tudyk","Animation, Aventure, Comédie","États-Unis, Canada",David G. Derrick Jr.,tt13622970,,,763,,,,"Disney Television Animation, The Walt Disney Company, Walt Disney Animation Canada",Moana et ses amis continuent d'explorer le Pacifique Sud dans cette série animée musicale.,Moana 2,https://www.imdb.com/title/tt13622970/?ref_=rlm,,10-12-2024
,,"Sara Giraudeau, Samir Guesmi, Aloïse Sauvage, Philippe Rebbot, Eva Yelmani, Amine Lajiri, Jean-Philippe Buzaud, Justine Viotty",,,,tt27811106,,,,,,,Pyramide Productions,A young circus artist who discovers the world of professional clowns following an injury.,Sur Un Fil,https://www.imdb.com/title/tt27811106/?ref_=rlm,,06-11-2024
,,"""Ardal OHanlon"", Charlotte Friels, Ed Byrne, Rupert Degas, Erin Choy, Sarah Aubrey, Semisi Cheekam, Neil Delamere","Animation, Aventure","Allemagne, Irlande, Australie",Mark Gravas,tt28485522,,,,,86, My Freaky Family,"Pop Family Entertainment, Telegael","On the cusp of her 13th birthday, Betty Flood - budding musician and magical being - just wants to be like the rest of her fabulous, but very different family, so why is her magical Mum so against it? As Betty wrestles with this, she also learns the amazing truth about her family...",Ma Famille D'Enfer,https://www.imdb.com/title/tt28485522/?ref_=rlm,,30-10-2024
106,,"Trien de Haan-Zwagerman, Lola Sylman, Nadine Hwang, Sylvie Bianchi, Christian, Nelly Mousset Vos, Joan Schenkar, Natalie Clifford Barney, Jack, Raymond, Anne Bianchi, José Rafael Lovera, Maria Alexandra Lovera, Choumi, Maria Kurowska, Elsie Ragusin, ""Mary OShaughnessy"", Irene Krausz-Fainman","Documentaire, Historique, Guerre","Suède, Belgique, Norvège",Magnus Gertten,tt17074508,72,407,,7.2,92,,"Auto Images AB, Malmö, Associate Directors, UpNorth Film","Une histoire d'amour entre deux femmes qui tombent amoureuses la veille de Noël 1944, dans le camp de concentration de Ravensbrück. Pendant de nombreuses années, leur relation est restée secrète.",Nelly & Nadine,https://www.imdb.com/title/tt17074508/?ref_=rlm,,20-11-2024
,5000,"Joshua Carter, Jace Carter, Jordyn Barnett, Christian Hernandez","Action, Aventure, Drame",États-Unis,Joshua Carter,tt30609082,,,,,,,Filmbilow Pictures,"After The Crypto meets his long lost brother, Jameson finds out his brother is trying to use ultimate power to do something evil. Jameson will go on a huge adventure to find out how to stop his brother. He will have help by a few heroes.",The Crypto: Beyond,https://www.imdb.com/title/tt30609082/?ref_=rlm,,18-10-2024
,28340000,"Tahar Rahim, Victor Meutelet, Soufiane Guerrab, Rupert Wynne-James, Bastien Bouillon, Sharon Mann, Petra Silander, Tiffany Hofstetter, Marie-Julie Baup, Camille Moutawakil, Anaïs Spinelli-Herry, Etienne Guillou-Kervern, Jérémie Petrus, Ivan Rangelov, Elisabeth Duda, Laura Lieblein Adam, Annie Mercier, Cyrus Khodaveisi","Biographique, Drame, Musical",France,,tt26743414,,,,,,,"Beside Productions, Kallouche Cinéma, Mandarin Films","Ce film retrace les débuts de Charles Aznavour, chanteur, auteur-compositeur et acteur franco-arménien emblématique, de zéro à la célébrité.",Monsieur Aznavour,https://www.imdb.com/title/tt26743414/?ref_=rlm,,23-10-2024
,38967500,"Adèle Exarchopoulos, François Civil, Raphaël Quenard, Alain Chabat, Élodie Bouchez, Benoît Poelvoorde, Vincent Lacoste, Jean-Pascal Zadi, Anthony Bajon, Nicolas Wanczycki, Mallory Wanecque, Manon Jacquart, Emmanuel Dehaene, Elias Hilali, Okito Wembonyama, Bastien Trouvé, Malik Frikah, Jack Claudany","Comédie, Drame, Comédie Musicale",France,Gilles Lellouche,tt27490099,,,,,,,"Chi-Fou-Mi Productions, StudioCanal, Trésor Films","L'histoire d'une relation improbable entre deux personnes. Une fille issue d'une famille de la classe moyenne supérieure et un garçon issu d'un milieu modeste tombent amoureux, mais s'éloignent l'un de l'autre.",L'Amour Ouf,https://www.imdb.com/title/tt27490099/?ref_=rlm,,16-10-2024
,,"Hicham Belaoudi, Lina El Arabi, Ouidad Elma, Wilfrid Grenier, Sairi Salma","Drame, Horreur",France,Abel Danan,tt30106363,,24,,7.9,,,"Joli Rouge, Kador, Place du Marché Productions","Yara, une jeune marocaine de 25 ans venue étudier à Paris, agoraphobe elle ne sort pas, Un soir, une mystérieuse apparition vient perturber son quotidien, et l'oblige à revivre ses pires craintes, la poussant au bord de la folie.",La Damnée,https://www.imdb.com/title/tt30106363/?ref_=rlm,,09-10-2024
,,"""Lupita Nyongo"", Pedro Pascal, ""Catherine OHara"", Bill Nighy, Stephanie Hsu, Kit Connor, Alexandra Novelle, Matt Berry, Ving Rhames, Mark Hamill","Animation, Aventure, Drame","États-Unis, Canada",Chris Sanders,tt29623480,,,332,,,,"DreamWorks Animation, Universal Pictures","Après un naufrage, un robot intelligent appelé Roz échoue sur une île inhabitée. Pour survivre dans cet environnement hostile, Roz se lie avec les animaux de l'île et s'occupe d'un bébé oie orphelin.",The Wild Robot,https://www.imdb.com/title/tt29623480/?ref_=rlm,,09-10-2024
,200000000,"Joaquin Phoenix, Ken Leung, Zazie Beetz, Catherine Keener, Lady Gaga, Brendan Gleeson, Steve Coogan, Jacob Lofland, Gattlin Griffith, Bill Smitrovich, Harry Lawtey, Tim Dillon, George Carroll, Mike Houston, Leigh Gill, Sharon Washington, Troy Fromin, Troy Metcalf","Policier, Drame, Comédie Musicale",États-Unis,Todd Phillips,tt11315808,,,149,,,,"BRON Studios, Bron Creative, DC Entertainment","Suite du film ""Joker"" de 2019.",Joker: Folie À Deux,https://www.imdb.com/title/tt11315808/?ref_=rlm,,02-10-2024
,,"Camille Cottin, Benoît Magimel, Félix Lefebvre, Bamar Kane, Swala Emati, Bass Dhem, ""Ibrahima MBaye"", Anna Thiandoum",Drame,France,Simon Moutaïrou,tt27737203,,,,,,,"Chi-Fou-Mi Productions, France 2 Cinéma, Les Autres Films","Île Maurice, 1759. Massamba et Mati sont esclaves dans une plantation. Une nuit, Mati s'enfuit. Madame La Victoire, chasseuse d'esclaves, est engagée pour la traquer. Massamba n'a d'autre choix que de s'évader à son tour.",Ni Chaînes Ni Maîtres,https://www.imdb.com/title/tt27737203/?ref_=rlm,,25-09-2024
,,"Sidse Babett Knudsen, Daniel Auteuil, Alice Belaïdi, Suliane Brahim, Grégory Gadebois, Isabelle Candelier, Florence Janas, Jean-Noël Brouté, Aurore Auteuil, Laurent Bozzi, Gaëtan Roussel, Nathalie Dodivers",Drame,France,,tt29102598,,,,,,,"France 2 Cinéma, Zack Films, Zazi Films","A man is accused of murdering his wife. His lawyer must defend him against all odds, and especially against himself.",Le Fil,https://www.imdb.com/title/tt29102598/?ref_=rlm,,25-09-2024
,,"Ilai Swindells, Samara Weaving, Akmal Saleh",Animation,Australie,Alexs Stadermann,tt27722575,,,,,85, 200% Wolf,Flying Bark Productions,A heroic poodle who is struggling to maintain the respect of his werewolf pack. When a wayward wish transforms him into a werewolf and despots a mischievous fairy on earth,200 % Loup,https://www.imdb.com/title/tt27722575/?ref_=rlm,,25-09-2024
,,"Gildas Adannou, Habib Ahandessi, Joséa Guedje",Documentaire,"France, Sénégal, Bénin",Mati Diop,tt31015216,85,74,,6.2,68,,"Arte France Cinéma, Fanta Sy, Les Films du Bal","Le parcours de 26 trésors royaux pillés du royaume du Dahomey exposés à Paris, en cours de restitution au Bénin. Diop exprime artistiquement les revendications d'une nouvelle génération.",Dahomey,https://www.imdb.com/title/tt31015216/?ref_=rlm,,25-09-2024
,,"Isabela Merced, Cailee Spaeny, Archie Renaux, David Jonsson, Spike Fearn, Aileen Wu","Horreur, Science-fiction","Royaume-Uni, États-Unis",Fede Alvarez,tt18412256,,,550,,,,"20th Century Studios, Hulu, Scott Free Productions",Des jeunes d'un monde lointain doivent affronter la forme de vie la plus terrifiante de l'univers.,Alien: Romulus,https://www.imdb.com/title/tt18412256/?ref_=rlm,,14-08-2024
