Unnamed: 0,Titre,Entrées,best_match,movie_boxoffice,movie_budget,movie_cast,movie_categories,movie_countries,movie_director,movie_id,movie_imdb_metascore,movie_imdb_nb_of_ratings,movie_imdb_popularity,movie_imdb_rating,movie_length,movie_original_title,movie_poster,movie_production_companies,movie_synopsis,movie_title,movie_url,movie_us_boxoffice,release_date,year
72,9 Flo Metropolitan Filmexport Bande-Annonce,149 707,,,,,,,,,,,,,,,,,,,,,,
73,10 Inestimable Pan Distribution Bande-Annonce,137 335,,,,,,,,,,,,,,,,,,,,,,
74,1 3 Jours Max Studiocanal Bande-Annonce,872 669,,,,,,,,,,,,,,,,,,,,,,
75,4 Second Tour Pathé Bande-Annonce,464 003,,,,,,,,,,,,,,,,,,,,,,
76,6 Saw X Metropolitan Filmexport Bande-Annonce,315 046,,,,,,,,,,,,,,,,,,,,,,
77,2 Une Année Difficile Gaumont Distribution Bande-Annonce,424 007,,,,,,,,,,,,,,,,,,,,,,
78,3 Les Trolls 3 Universal Pictures International France Bande-Annonce,419 824,,,,,,,,,,,,,,,,,,,,,,
79,4 Killers Of The Flower Moon Paramount Pictures France Bande-Annonce,418 140,,,,,,,,,,,,,,,,,,,,,,
80,1 La Pat' Patrouille : La Super Patrouille Le Film Paramount Pictures France Bande-Annonce,646 799,,,,,,,,,,,,,,,,,,,,,,
81,2 L'Exorciste - Dévotion Universal Pictures International France Bande-Annonce,264 818,,,,,,,,,,,,,,,,,,,,,,
82,5 Expend4Bles Metropolitan Filmexport Bande-Annonce,154 647,,,,,,,,,,,,,,,,,,,,,,
83,6 Marie-Line Et Son Juge Arp Sélection Bande-Annonce,127 499,,,,,,,,,,,,,,,,,,,,,,
84,9 La Fiancée Du Poète Le Pacte Bande-Annonce,62 842,,,,,,,,,,,,,,,,,,,,,,
85,10 Le Consentement Pan Distribution Bande-Annonce,59 266,,,,,,,,,,,,,,,,,,,,,,
86,1 Bernadette Warner Bros. France Bande-Annonce,267 041,,,,,,,,,,,,,,,,,,,,,,
87,2 Le Règne Animal Studiocanal Bande-Annonce,224 476,,,,,,,,,,,,,,,,,,,,,,
88,1 The Creator The Walt Disney Company France Bande-Annonce,262 507,,,,,,,,,,,,,,,,,,,,,,
89,3 Dogman Europacorp Distribution / Apollo Films Bande-Annonce,139 989,,,,,,,,,,,,,,,,,,,,,,
90,4 Nouveau Départ Ugc Distribution / Orange Studio Bande-Annonce,124 644,,,,,,,,,,,,,,,,,,,,,,
91,6 Le Procès Goldman Ad Vitam Bande-Annonce,110 011,,,,,,,,,,,,,,,,,,,,,,
92,2 La Petite Snd Bande-Annonce,206 646,,,,,,,,,,,,,,,,,,,,,,
93,5 Acide Pathé Bande-Annonce,128 852,,,,,,,,,,,,,,,,,,,,,,
94,7 Les Feuilles Mortes Diaphana Distribution Bande-Annonce,111 219,,,,,,,,,,,,,,,,,,,,,,
95,1 La Nonne : La Malédiction De Sainte Lucie Warner Bros. France Bande-Annonce,464 102,,,,,,,,,,,,,,,,,,,,,,
96,2 Mystère À Venise The Walt Disney Company France Bande-Annonce,250 148,,,,,,,,,,,,,,,,,,,,,,
97,3 Un Métier Sérieux Le Pacte Bande-Annonce,215 443,,,,,,,,,,,,,,,,,,,,,,
98,4 Le Livre Des Solutions The Jokers / Les Bookmakers Bande-Annonce,188 920,,,,,,,,,,,,,,,,,,,,,,
99,10 L'Été Dernier Pyramide Distribution Bande-Annonce,58 358,,,,,,,,,,,,,,,,,,,,,,
100,3 Toni En Famille Studiocanal Bande-Annonce,121 678,,,,,,,,,,,,,,,,,,,,,,
101,5 Visions Snd Bande-Annonce,100 349,,,,,,,,,,,,,,,,,,,,,,
102,8 Inside Kmbo Bande-Annonce,43 573,,,,,,,,,,,,,,,,,,,,,,
103,1 Equalizer 3 Sony Pictures Releasing France Bande-Annonce,378 764,,,,,,,,,,,,,,,,,,,,,,
104,2 Anatomie D’Une Chute Le Pacte Bande-Annonce,346 499,,,,,,,,,,,,,,,,,,,,,,
105,6 Hypnotic Snd Bande-Annonce,189 754,,,,,,,,,,,,,,,,,,,,,,
106,9 Retribution Studiocanal Bande-Annonce,124 439,,,,,,,,,,,,,,,,,,,,,,
107,3 Les As De La Jungle 2 - Opération Tour Du Monde Snd Bande-Annonce,262 703,,,,,,,,,,,,,,,,,,,,,,
108,4 Blue Beetle Warner Bros. France Bande-Annonce,239 733,,,,,,,,,,,,,,,,,,,,,,
109,3 Gran Turismo Sony Pictures Releasing France Bande-Annonce,382 349,,,,,,,,,,,,,,,,,,,,,,
110,5 Ninja Turtles: Teenage Years Paramount Pictures France Bande-Annonce,281 644,,,,,,,,,,,,,,,,,,,,,,
111,10 Veuillez Nous Excuser Pour La Gêne Occasionnée Ugc Distribution / Tf1 Studio Bande-Annonce,100 308,,,,,,,,,,,,,,,,,,,,,,
112,3 En Eaux Très Troubles Warner Bros. France Bande-Annonce,696 823,,,,,,,,,,,,,,,,,,,,,,
113,4 Les Blagues De Toto 2 - Classe Verte Snd Bande-Annonce,361 350,,,,,,,,,,,,,,,,,,,,,,
114,9 Yannick Diaphana Distribution Le Teaser,130 879,,,,,,,,,,,,,,,,,,,,,,
115,4 Les Déguns 2 Apollo Films Bande-Annonce,307 587,,,,,,,,,,,,,,,,,,,,,,
116,6 Le Manoir Hanté The Walt Disney Company France Bande-Annonce,288 762,,,,,,,,,,,,,,,,,,,,,,
117,9 La Main Snd Bande-Annonce,187 507,,,,,,,,,,,,,,,,,,,,,,
118,1 Barbie Warner Bros. France Bande-Annonce,1 680 490,,,,,,,,,,,,,,,,,,,,,,
119,2 Oppenheimer Universal Pictures International France Bande-Annonce,1 138 907,,,,,,,,,,,,,,,,,,,,,,
120,8 La Maison Du Mal Metropolitan Filmexport Bande-Annonce,96 861,,,,,,,,,,,,,,,,,,,,,,
121,1 Mission: Impossible – Dead Reckoning Partie 1 Paramount Pictures France Bande-Annonce,930 141,,,,,,,,,,,,,,,,,,,,,,
122,6 Les Algues Vertes Haut Et Court Bande-Annonce,125 566,,,,,,,,,,,,,,,,,,,,,,
123,1 Miraculous - Le Film Snd Bande-Annonce,660 421,,,,,,,,,,,,,,,,,,,,,,
124,4 Insidious: The Red Door Sony Pictures Releasing France Bande-Annonce,306 107,,,,,,,,,,,,,,,,,,,,,,
125,9 Yo Mama Gaumont Distribution Bande-Annonce,78 717,,,,,,,,,,,,,,,,,,,,,,
126,1 Indiana Jones Et Le Cadran De La Destinée The Walt Disney Company France Bande-Annonce,1 089 875,,,,,,,,,,,,,,,,,,,,,,
127,4 Les Vengeances De Maître Poutifard Ugc Distribution Bande-Annonce,180 735,,,,,,,,,,,,,,,,,,,,,,
128,8 Vers Un Avenir Radieux Le Pacte Bande-Annonce,91 786,,,,,,,,,,,,,,,,,,,,,,
129,10 Farang Studiocanal Bande-Annonce,79 426,,,,,,,,,,,,,,,,,,,,,,
